siret,enseigne1Etablissement,codePostalEtablissement
00554155200039,LE SYMPA SNACK,04260
01724074800073,FITOU PIZZA,11510
02406371100022,LADA RESTAURANT,97600
02406560900026,LE BOULEVARD,97615
03572073900040,SNACK DE LA PINEDE,06160
03712117500055,LE NEW PORT CAFE,06400
04701043400026,CALA D'ASCIAGJU,20137
05439228700014,TOUSSAH,97600
05781264600016,CAFE ROMANA,13001
06080646000089,FRAICH CONCEPT,13100
06630169800024,LES HALY'S CAFE,97600
06630227400015,LE CAFE DE PAMANDZI,97615
06630304100025,MASTEREHI,97600
06630375100029,COUAC COCO,97615
06630539200053,AU PETIT PAIN DE M'TSAPERE,97600
06630999800020,CARREFOUR SHOP,97680
06631144000011,SUNLIGHT PIZZA CENTRE,97680
07020081100027,L'INFUSION,49100
07271573300068,LE GOUT DU JOUR,13002
07681252800024,CREPERIE BUVETTE LE RAVARIN,73300
07691167600039,LA GUINGUETTE,83690
08722038000031,LE DHARMA,81380
09412913700025,DALLAS,97620
09937597400021,ROCADE CAFE,97600
09938009900038,LE PUB,97615
09938291300103,POINT CHAUD,97600
09938291300228,SHAHULA,97600
20005361900124,BAR DE LA BASE DE LOISIRS,49600
21040210300035,SNACK VAUPLANE,04120
21050006200067,SCE BAR RESTAURANT PISCINE,05120
21240491700040,MULTIPLE RURAL (RESTAURATION RAPIDE),24210
21300339500083,REGIE 3 CHALET MONT AIGOUAL,30570
21490151400072,BAR DE LA BASE DE LOISIRS,49600
21660061900037,MULTI-SERVICES LA REGALADE,66260
21720264700020,BRASSERIE HENRI ROYER,72300
21790267500032,RESTAURANT,79420
21800460400052,CAFE COMMUNAL,80430
22900001300305,POINT RESTAURATION MALSAUCY,90000
24570069500142,CAFETERIA,57570
24570069500217,LA PETITE CARCASSONNE,57570
25351460800038,SERVICE RESTAURATION RAPIDE,35131
25590001100040,REGIE BRASSERIE,59132
30012912900064,SENSASS FRITURE,62220
30014826900115,L ABACA,83600
30049039800041,L'ENTRACTE,31000
30054548000034,PIZZAS GIL,26800
30054548000042,PIZZAS GIL,26250
30061566300022,LE BISTROT,83140
30074913200035,LE COMPTOIR GOURMAND,05100
30090042000021,CREPERIE 3000,38130
30093713300084,L ESSENTIELLE,87000
30103819600012,BAR LE CENTENAIRE,24200
30110403000038,LE PIZZAIOLO,07170
30114501700077,SNACK DU CAMPING DE LA FALAISE,44420
30136844500062,LE PISAN ON,13001
30137750300034,SNACK BELLA VISTA,20260
30180638600050,LES HALLES PIZZAS A EMPORTER,56230
30192720800084,PIZZA RIPPOL,97410
30197301200026,PIZZERIA DU CHATEAU,26110
30205964700073,SALE-SUCRE,54000
30207978500069,L'ESCAPADE GOURMANDE,73210
30210597800035,FRITERIE DU CENTRE,62430
30215254100025,CHEZ PAULA,20219
30215266500014,MAC'NO,20217
30217102000076,A LA CROISEE DES PAINS,63360
30221282400049,BAR DU PORTAIL,06810
30227203400075,ESPRIT SUSHI,47000
30231940500049,LE PETIT CHOSE,20137
30234722400032,BEN ARFA,31000
30236079700070,AUX TROTTEURS,78120
30242674700028,SAVOIA,74400
30245476400051,LES CRIQUES,74190
30251270200044,CAFE DELIS',83000
30261416900027,LA POM PIZZA,13124
30264877900023,LE P'TIT CREUX,73500
30316399200066,SNACKS ELIZE,97233
30322705200030,BOUCHERIE SANDWICHERIE DES 3 COMMUN,93420
30330221000065,CHEZ LE MEUNIER,91630
30335247000023,MAISON DELMAS,34540
30352224700012,BAR TY FORN,56320
30360329400065,CHEZ CHRISTIANE,02100
30378406000012,PIZZA MARIUS,32200
30392825300010,LA PETITE FUGUE,61150
30401382400061,AVANTI PIZZA,31470
30417922900048,LE GLOBE CROC'HEURE,43000
30418095300149,SPANISH CAFE,13160
30422210200093,LA MALINE,17730
30449929600024,LA ROSTERIE,05200
30451469800048,PIZZA HUT,92130
30456381000114,LA PIZZERIA,17250
30460432500023,COTE THEATRE,26200
30469845900027,SNACK DU LAC,37130
30478650200019,LA PLACE,92400
30484496200049,LE BRIOCHE,37000
30487868900062,SUBWAY,62220
30489679800028,LE RELAIS DES GOURMETS,51100
30495980200105,LE TORPEDO,26190
30499560800029,LA SORBETIERE D'ALBA,68100
30503516400063,CARTEL,44800
30509899800035,LYON FAST,75012
30524322203038,AIRBUS DEFENCE & SPACE,78990
30524365100059,SERGE HUILLET,32500
30530396800096,LES HALLES SOLANID,34000
30537235100034,ALI BABA,88100
30542645400016,BAR SNACK DE L'AVENIR,83570
30542905200049,SNACK COCO-LINE,17390
30546610400026,LA CIGALIERE,84100
30548668000112,JO PIZZA,69200
30556722400020,PIZZ'OASIS,73200
30557762900101,LE GRILL GREC,83200
30557762900119,LE GRILL GREC,83140
30557800700042,LE CAMION,17150
30559774200033,LE NENUPHAR,67205
30560074400059,RECEVOIR... LES PIEDS SOUS LA TABLE,89700
30560074400067,L'ATELIER,89700
30570055100040,LE VIEUX CHALET,06420
30570055100057,LE VIEUX CHALET,06420
30571530200025,SNACK BUVETTE DE CARAJUAN,04120
30574955800089,LA FONTAINE AUX GLACES,13300
30582246200068,BUBBLE BREAK,63000
30595227700039,AU GRAIN DE SEL,06400
30599593800043,MIDI CROC SERVICE,31700
30612603800067,L'ALPETTE,38860
30613890001542,LA FORME CAFE,59650
30615323000033,O DELICES,85270
30616493000068,LA GRIGNOTERIE,05170
30623319800028,LE  LOUCHADIERE,63230
30627942300025,CREPERIE DE LA PLAGE,80410
30666182800104,PIZZAS CARVI,36230
30667326000023,MOULES VIGNES ET JAMBON,64450
30687541000046,LE SNAK,33260
30702872000034,LA MOUETTE,20137
30706258800032,LA FRITE JAUNE,51100
30721443700070,PIZZA SPONTINO,67170
30729859600049,AUX DELICES DES ANGES,30700
30730502900075,MIAM MIAM,67000
30733572900116,ALLO NEM MARSEILLE,13005
30733572900157,ALLO NEM GUY QUANG,13005
30737122900054,FRITERIE VIMINOISE,62750
30737122900062,FRITERIE VIMINOISE,62160
30748269500037,LA BULLE,83530
30749545700045,PIZZA RENE,97133
30759188300052,LE ROCHER CREOLE,97223
30768612100079,LES GAUFRES A L'ANCIENNE,28270
30787593000074,PIZZAS RELAIS,72130
30808613100049,VIA DEL GELATO,34420
